ID,Tipo do trabalho,Nome da conferência/periodico,Área da conferência/periodico,Ano,Base de extração
E1,Conferência,"22nd International Conference on Human-Computer Interaction, HCII 2020",IHC,2020,Scopus
E2,Conferência,IHC '20: Proceedings of the 19th Brazilian Symposium on Human Factors in Computing Systems,IHC,2020,ACM/DL
E3,Revista,Journal of Medical Internet Research,Saúde digital,2020,Scopus
E4,Revista,International Journal of Advanced Science and Technology,Ciência e Tecnologia,2020,Scopus
E5,Conferência,"28th International Conference on Information Systems Development, ISD 2019",Sistemas de Informação,2020,Scopus
E6,Conferência,"VISIGRAPP 2021 - Proceedings of the 16th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",Visualização da Informação,2021,Scopus
E7,Revista,Journal on Computing and Cultural Heritage (JOCCH),Patrimônio Cultural,2021,ACM/DL
E8,Conferência,"VISIGRAPP 2021 - Proceedings of the 16th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",Visualização da Informação,2021,Scopus
E10,Conferência,Proceedings of the European Conference on Games-based Learning,Jogos,2022,Scopus
E11,Conferência,SBSI '22: Proceedings of the XVIII Brazilian Symposium on Information Systems,Sistemas de Informação,2022,ACM/DL
E12,Conferência,25th International Conference on Computer and Information Technology (ICCIT),Computação,2022,IEEE
E13,Revista,Journal Multimedia Tools and Applications,Multimídia,2022,Scopus
E14,Conferência,"24th HCI International Conference, HCII 2022",IHC,2022,Scopus
E15,Conferência,"24th HCI International Conference, HCII 2022",IHC,2022,Scopus
E16,Revista,International Journal of Advanced Computer Science and Applications,Computação,2022,Scopus
E24,Conferência,PCI '22: Proceedings of the 26th Pan-Hellenic Conference on Informatics,Computação,2022,ACM/DL
E9,Revista,JMIR Human Factors,IHC,2022,Scopus
E17,Conferência,"11th Latin American Conference on Human Computer Interaction, CLIHC 2023",IHC,2023,Scopus
E18,Conferência,Anais Estendidos do XXII Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais ,IHC,2023,SOL/SBC
E19,Conferência,"International Conference on Human-Computer Interaction, HCII 2023",IHC,2023,Scopus
E20,Revista,Journal of Visual Art and Design,Design,2023,Scopus
E21,Conferência,"23rd International Conference on Human-Computer Interaction, INTERACCION 2023",IHC,2023,Scopus
E22,Conferência,"19th IFIP TC 13 International Conference on Human-Computer Interaction, INTERACT 2023",IHC,2023,Scopus
E23,Revista,Journal Heliyon,Multidisciplinar,2023,Scopus
E25,Revista,Journal of the American Medical Informatics Association,Saúde digital,2024,Scopus
E26,Revista,Universal Access in the Information Society,IHC,2024,Scopus
E27,Revista,TEM Journal,Interdisciplinar,2024,Scopus
E28,Conferência,21st International Joint Conference on Computer Science and Software Engineering (JCSSE),Engenharia de Software,2024,IEEE
E29,Revista,JMIR Human Factors,Multidisciplinar,2024,Scopus
E30,Revista,International Journal of Human-Computer Interaction,IHC,2024,Scopus
E31,Conferência,2nd International Conference on Technology Innovation and Its Applications (ICTIIA),Computação,2024,IEEE
E32,Conferência,EICS 2024 Companion - Companion of the 2024 ACM SIGCHI Symposium on Engineering Interactive Computing Systems,Computação,2024,Scopus
E33,Revista,International Journal of Human-Computer Interaction,IHC,2024,Scopus
E34,Conferência,"26th International Conference on Human-Computer Interaction, HCII 2024",IHC,2025,Scopus
E35,Revista,Journal of Theoretical and Applied Information Technology,Tecnologia da Informação,2025,Scopus
E36,Conferência,2025 International Conference on Computing and Applied Informatics (ICCAI),Computação,2025,IEEE
E37,Revista,CLEI Eletronic Journal (CLEIej),Computação,2025,Scopus
E38,Conferência,"2025 International Conference on Quantum Photonics, Artificial Intelligence, and Networking (QPAIN)",Multidisciplinar,2025,IEEE
E39,Revista,Heritage,Patrimônio Cultural,2025,Scopus
E40,Conferência,Proceedings of the 6th ECSEE 2025 - European Conference on Software Engineering Education,Engenharia de Software,2025,Scopus
E41,Revista,BMC Medical Informatics and Decision Making,Saúde digital,2025,Scopus
E42,Conferência,"9th International Conference on Information Technology, Information Systems and Electrical Engineering, ICITISEE 2025",Computação,2025,Scopus
E43,Conferência,"IEEE 2nd International Conference on Computing, Applications and Systems (COMPAS)",Computação,2025,IEEE
E44,Conferência,"9th International Artificial Intelligence and Data Processing Symposium, IDAP 2025",Computação,2025,Scopus
E45,Revista,JMIR Human Factors,Multidisciplinar,2025,Scopus
